from,to,distance_km
14,1072,1.691
29,1707,0.761
29,3097,1.154
29,2414,1.566
29,997,1.847
300,478,0.344
300,2210,1.362
300,2554,1.701
997,29,1.847
2668,1447,1.682
3097,2414,0.51
3097,29,1.154
3097,1707,1.616
3097,1601,1.668
3097,2543,1.795
1447,1072,1.212
1447,2668,1.682
2543,1601,1.257
2543,2414,1.459
2543,3136,1.508
2543,3097,1.795
478,300,0.344
478,2210,1.039
478,2554,1.454
1072,1447,1.212
1072,2554,1.647
1072,14,1.691
1601,2414,1.158
1601,2543,1.257
1601,3097,1.668
3136,2543,1.508
2554,2210,0.684
2554,478,1.454
2554,1072,1.647
2554,300,1.701
2414,3097,0.51
2414,1601,1.158
2414,2543,1.459
2414,29,1.566
2414,1707,1.863
1707,29,0.761
1707,3097,1.616
1707,2414,1.863
2210,2554,0.684
2210,478,1.039
2210,300,1.362
29,1072,5.202
1072,29,5.202
2257,2554,6.144
2554,2257,6.144
105,1447,2.181
1447,105,2.181
